streetAddress_andrew,fullAddress_andrew,"lat,long",lat,long,priceBought,timesFinanced_byChen,Document ID,portfolioCompany
268 W Alexander St,"268 W Alexander St, Chicago, IL","41.8515965, -87.6345784",41.8515965,-87.6345784,"$280,000.00",4,2031917082; 2314640020,Second Gold; Portfolio X Two
229 W Alexander St,"229 W Alexander St, Chicago, IL","41.851307, -87.63317119999999",41.851307,-87.6331712,"$670,000.00",3,2031917082; 2314640020,Second Gold; Portfolio X Two
228 W 23rd St,"228 W 23rd St, Chicago, IL","41.8511866, -87.6331606",41.8511866,-87.6331606,"$670,000.00",3,2031917082; 2314640020,Second Gold; Portfolio X Two
242 W Alexander St,"242 W Alexander St, Chicago, IL","41.8516007, -87.633617",41.8516007,-87.633617,"$515,000.00",5,2031917082; 2314640020,Second Gold; Portfolio X Two
221 W Alexander St,"221 W Alexander St, Chicago, IL","41.8512906, -87.63289209999999",41.8512906,-87.6328921,"$330,000.00",4,"2103222057;  2314640020
",Third Gold; Portfolio X Two
305 W 23rd St,"305 W 23rd St, Chicago, IL","41.8506943, -87.6350829",41.8506943,-87.6350829,n/a,2,2103222057; 2314640020,Third Gold; Portfolio X Two
252 W Alexander St ,"252 W Alexander St , Chicago, IL","41.8515965, -87.6339986",41.8515965,-87.6339986,"$965,000.00",3,2103222057; 2314640020,Third Gold; Portfolio X Two
2820 S Throop St,"2820 S Throop St, Chicago, IL","41.8428415, -87.6538482",41.8428415,-87.6538482,n/a,2,2103222057; 2314640020,Third Gold; Portfolio X Two
451 W 27th St,"451 W 27th St, Chicago, IL","41.8443067, -87.6386677",41.8443067,-87.6386677,"$660,000.00",2,2314640020,Portfolio X Two
257 W 24th St,"257 W 24th St, Chicago, IL","41.8489459, -87.6341327",41.8489459,-87.6341327,n/a,1,2314640020,Portfolio X Two
445 W 29th St,"445 W 29th St, Chicago, IL","41.8416383, -87.6383639",41.8416383,-87.6383639,n/a,1,2314640020,Portfolio X Two
3800 S. Wallace,"3800 S. Wallace, Chicago, IL","41.8252187, -87.6413846",41.8252187,-87.6413846,n/a,1,2314640020,Portfolio X Two
212 W 23rd St,"212 W 23rd St, Chicago, IL","41.8511293, -87.63257809999999",41.8511293,-87.6325781,"$1,220,000.00",2,2118246309,Fifth Gold
2564 S Hillock Ave,"2564 S Hillock Ave, Chicago, IL","41.8459787, -87.6554488",41.8459787,-87.6554488,"$320,000.00",2,2118246309,Fifth Gold
226 W Alexander St,"226 W Alexander St, Chicago, IL","41.8516053, -87.63308169999999",41.8516053,-87.6330817,"$338,000.00",2,2118246309,Fifth Gold
3225 S Parnell,"3225 S Parnell, Chicago, IL","41.8355025, -87.6398658",41.8355025,-87.6398658,"$555,000.00",1,2118246309,Fifth Gold
3809 S Parnell Ave,"3809 S Parnell Ave, Chicago, IL","41.8250491, -87.63962939999999",41.8250491,-87.6396294,"$320,500.00",4,2127215003,Sixth Gold
3218 S Canal St,"3218 S Canal St, Chicago, IL","41.8357237, -87.63800429999999",41.8357237,-87.6380043,"$677,000.00",4,2127215003,Sixth Gold
2827 S Archer Ave,"2827 S Archer Ave, Chicago, IL","41.8428028, -87.65502420000001",41.8428028,-87.6550242,"$690,000.00",3,2127215003,Sixth Gold
238 W 24th Pl,"238 W 24th Pl, Chicago, IL","41.8484205, -87.6334698",41.8484205,-87.6334698,"$420,000.00",1,2127215003,Sixth Gold
3010 S. Emerald Ave,"3010 S. Emerald Ave, Chicago, IL","41.839486, -87.6453863",41.839486,-87.6453863,"$528,000.00",2,2207408057,Eighth Gold
800 W. 27th St,"800 W. 27th St, Chicago, IL","41.8447044, -87.6465845",41.8447044,-87.6465845,"$1,720,000.00",2,2207408057,Eighth Gold
226 W. 23rd Pl,"226 W. 23rd Pl, Chicago, IL","41.8502795, -87.6330523",41.8502795,-87.6330523,"$1,000,000.00",2,2207408057,Eighth Gold
